match_team,sofascore_team,theoddsapi_team,oddsapiio_team,standard_team
Atlanta United,Atlanta United,,Atlanta United FC,Atlanta United
Austin FC,Austin FC,,Austin FC,Austin FC
CF Montréal,CF Montréal,,CF Montreal,CF Montréal
Charlotte FC,Charlotte FC,,Charlotte FC,Charlotte FC
Chicago Fire,Chicago Fire,,Chicago Fire,Chicago Fire
Colorado Rapids,Colorado Rapids,,Colorado Rapids,Colorado Rapids
Columbus Crew,Columbus Crew,,Columbus Crew,Columbus Crew
DC United,DC United,,DC United,DC United
FC Cincinnati,FC Cincinnati,,FC Cincinnati,FC Cincinnati
FC Dallas,FC Dallas,,FC Dallas,FC Dallas
Houston Dynamo,Houston Dynamo,,Houston Dynamo,Houston Dynamo
Inter Miami,Inter Miami CF,,Inter Miami CF,Inter Miami CF
LA Galaxy,LA Galaxy,,Los Angeles Galaxy,LA Galaxy
Los Angeles FC,Los Angeles FC,,Los Angeles FC,Los Angeles FC
Minnesota United,Minnesota United,,Minnesota United FC,Minnesota United
Nashville SC,Nashville SC,,Nashville SC,Nashville SC
New England Revolution,New England Revolution,,New England Revolution,New England Revolution
New York City FC,New York City FC,,New York City FC,New York City FC
New York Red Bulls,New York Red Bulls,,New York Red Bulls,New York Red Bulls
Orlando City,Orlando City SC,,Orlando City SC,Orlando City SC
Philadelphia Union,Philadelphia Union,,Philadelphia Union,Philadelphia Union
Portland Timbers,Portland Timbers,,Portland Timbers,Portland Timbers
Real Salt Lake,Real Salt Lake,,Real Salt Lake,Real Salt Lake
San Diego FC,San Diego FC,,San Diego FC,San Diego FC
San Jose Earthquakes,San Jose Earthquakes,,San Jose Earthquakes,San Jose Earthquakes
Seattle Sounders,Seattle Sounders FC,,Seattle Sounders,Seattle Sounders FC
Sporting Kansas City,Sporting Kansas City,,Sporting Kansas City,Sporting Kansas City
St. Louis City SC,St.Louis City,,Saint Louis City SC,St.Louis City
Toronto FC,Toronto FC,,Toronto FC,Toronto FC
Vancouver Whitecaps,Vancouver Whitecaps,,Vancouver Whitecaps FC,Vancouver Whitecaps
